Human_Readable_Topic,update_date,Categories
Privacy-Preserving Large Language Models,2023-05-02,Optimization Techniques
Stance Detection in Natural Language Processing,2023-05-26,Applications and Use Cases
Open-Source Large Language Models for AI Development,2023-06-28,Infrastructure and Tools
Open-Source Large Language Models for AI Development,2023-06-28,Applications and Use Cases
Text Summarization with Large Language Models,2023-12-05,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2024-03-12,Applications and Use Cases
Reinforcement Learning from Human Feedback,2023-01-18,Learning Paradigms
AI-powered Tutoring in Programming Education,2023-03-29,Applications and Use Cases
Detecting AI-Generated Texts,2023-07-25,Societal Impacts and Ethics
Detecting AI-Generated Texts,2023-07-25,Evaluation and Benchmarks
Large Language Models in Healthcare Applications,2023-01-30,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2024-06-17,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2023-02-06,Applications and Use Cases
Large Language Models in Healthcare Applications,2023-12-12,Applications and Use Cases
Personality Traits in Language Models,2023-05-12,Societal Impacts and Ethics
Personality Traits in Language Models,2023-05-12,Core Models and Architectures
Conversational Search and Retrieval Systems,2023-10-09,Applications and Use Cases
Retrieval-Augmented Generation for Large Language Models,2023-07-04,Applications and Use Cases
Large Language Models for Planning Tasks,2023-11-28,Applications and Use Cases
Logical Reasoning in Large Language Models,2024-07-19,Core Models and Architectures
Logical Reasoning in Large Language Models,2024-07-19,Learning Paradigms
Automated Penetration Testing with Large Language Models,2024-09-09,Applications and Use Cases
Tool Learning with Large Language Models,2024-09-09,Learning Paradigms
Tool Learning with Large Language Models,2024-09-09,Core Models and Architectures
Optimizing GPU Utilization for Large Language Models,2024-11-06,Optimization Techniques
Optimizing GPU Utilization for Large Language Models,2024-11-06,Infrastructure and Tools
Machine-Assisted Peer Review,2024-09-09,Applications and Use Cases
Machine-Assisted Peer Review,2024-09-09,Societal Impacts and Ethics
Evolutionary Algorithms with Large Language Models,2024-09-09,Core Models and Architectures
Evolutionary Algorithms with Large Language Models,2024-09-09,Optimization Techniques
Molecular and Protein Representation Learning,2024-09-10,Core Models and Architectures
Molecular and Protein Representation Learning,2024-09-10,Applications and Use Cases
Personalized Recommendation Systems,2024-09-24,Applications and Use Cases
Context Length Extrapolation for LLMs,2024-09-10,Core Models and Architectures
Context Length Extrapolation for LLMs,2024-09-10,Optimization Techniques
Log Parsing and Analysis Techniques,2024-09-10,Applications and Use Cases
Watermarking Techniques for Large Language Models,2024-10-16,Societal Impacts and Ethics
Watermarking Techniques for Large Language Models,2024-10-16,Core Models and Architectures
Multilingual Language Model Transfer,2024-09-10,Core Models and Architectures
Multilingual Language Model Transfer,2024-09-10,Learning Paradigms
Generative AI in Telecommunications,2024-09-17,Applications and Use Cases
Radiology Report Generation with Multimodal Models,2024-10-08,Applications and Use Cases
Text-to-SQL Generation and Optimization,2024-09-12,Applications and Use Cases
Text-to-SQL Generation and Optimization,2024-09-12,Optimization Techniques
Assessing Creativity in Large Language Models,2024-09-10,Evaluation and Benchmarks
Assessing Creativity in Large Language Models,2024-09-10,Societal Impacts and Ethics
Knowledge Editing in Large Language Models,2024-09-10,Core Models and Architectures
Knowledge Editing in Large Language Models,2024-09-10,Applications and Use Cases
Molecular and Protein Representation Learning,2024-09-11,Core Models and Architectures
Molecular and Protein Representation Learning,2024-09-11,Applications and Use Cases
Mathematical Proof Formalization with AI,2024-11-11,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-09-11,Applications and Use Cases
Financial NLP and Large Language Models,2024-09-11,Applications and Use Cases
Personalized Recommendation Systems,2024-09-12,Applications and Use Cases
Video Understanding with Large Multimodal Models,2024-09-11,Applications and Use Cases
Intelligent Agents and Multi-Agent Systems in AI,2024-09-11,Applications and Use Cases
Intelligent Agents and Multi-Agent Systems in AI,2024-09-11,Societal Impacts and Ethics
Optimizing GPU Utilization for Large Language Models,2024-09-11,Optimization Techniques
Optimizing GPU Utilization for Large Language Models,2024-09-11,Infrastructure and Tools
AI-powered Tutoring in Programming Education,2024-09-12,Applications and Use Cases
Defect Classification in Manufacturing,2024-09-12,Applications and Use Cases
Molecular and Protein Representation Learning,2024-09-12,Core Models and Architectures
Molecular and Protein Representation Learning,2024-09-12,Applications and Use Cases
Game Agents and AI-Driven Game Development,2024-09-12,Applications and Use Cases
Improving Transformers for Arithmetic Tasks,2024-09-12,Core Models and Architectures
Improving Transformers for Arithmetic Tasks,2024-09-12,Learning Paradigms
Improving Instruction Following in Large Language Models,2024-09-12,Learning Paradigms
Uncertainty in Large Language Models,2024-09-12,Core Models and Architectures
Uncertainty in Large Language Models,2024-09-12,Societal Impacts and Ethics
Video Understanding with Large Multimodal Models,2024-09-12,Applications and Use Cases
Multimodal Large Language Models (MLLMs),2024-11-21,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2024-11-21,Applications and Use Cases
Adversarial Attacks on Vision Language Models,2024-09-12,Societal Impacts and Ethics
Adversarial Attacks on Vision Language Models,2024-09-12,Evaluation and Benchmarks
NLG Evaluation Metrics and Models,2024-09-12,Evaluation and Benchmarks
NLG Evaluation Metrics and Models,2024-09-12,Core Models and Architectures
AI-powered Tutoring in Programming Education,2024-09-12,Applications and Use Cases
Financial NLP and Large Language Models,2024-09-13,Applications and Use Cases
Knowledge Editing in Large Language Models,2024-09-13,Core Models and Architectures
Knowledge Editing in Large Language Models,2024-09-13,Applications and Use Cases
Detecting AI-Generated Texts,2024-09-13,Societal Impacts and Ethics
Detecting AI-Generated Texts,2024-09-13,Evaluation and Benchmarks
Legal Language Models Evaluation,2024-10-29,Evaluation and Benchmarks
Legal Language Models Evaluation,2024-10-29,Applications and Use Cases
Large Language Models in Politics,2024-09-13,Applications and Use Cases
Large Language Models in Politics,2024-09-13,Societal Impacts and Ethics
Large Language Models in Social Simulations and Cooperation,2024-11-04,Applications and Use Cases
Large Language Models in Social Simulations and Cooperation,2024-11-04,Societal Impacts and Ethics
Large Language Model Hallucinations,2024-11-22,Societal Impacts and Ethics
Large Language Model Hallucinations,2024-11-22,Evaluation and Benchmarks
Facial Expression Recognition Methods,2024-09-16,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2024-09-16,Applications and Use Cases
Speech-to-Text and Audio Processing,2024-09-16,Applications and Use Cases
Speech-to-Text and Audio Processing,2024-09-16,Applications and Use Cases
Speech-to-Text and Audio Processing,2024-09-16,Applications and Use Cases
Large Language Models for Low-Resource Languages,2024-10-31,Applications and Use Cases
Large Language Models for Low-Resource Languages,2024-10-31,Societal Impacts and Ethics
Reinforcement Learning from Human Feedback,2024-09-16,Learning Paradigms
Graph Learning with Large Language Models,2024-09-16,Core Models and Architectures
Graph Learning with Large Language Models,2024-09-16,Learning Paradigms
Robot Manipulation and Autonomous Systems,2024-09-16,Applications and Use Cases
Legal Language Models Evaluation,2024-09-17,Evaluation and Benchmarks
Legal Language Models Evaluation,2024-09-17,Applications and Use Cases
AI-powered Tutoring in Programming Education,2024-09-17,Applications and Use Cases
Edge Computing for AI and Language Models,2024-09-17,Infrastructure and Tools
Edge Computing for AI and Language Models,2024-09-17,Optimization Techniques
Process Mining with Large Language Models,2024-09-20,Applications and Use Cases
Large Language Model Data Preparation Toolkits,2024-09-17,Infrastructure and Tools
Speech-to-Text and Audio Processing,2024-09-17,Applications and Use Cases
Symbolic Regression and Equation Discovery,2024-11-04,Applications and Use Cases
Symbolic Regression and Equation Discovery,2024-11-04,Learning Paradigms
Robot Manipulation and Autonomous Systems,2024-09-17,Applications and Use Cases
Autonomous Driving Technologies,2024-09-17,Applications and Use Cases
Large Language Model Data Curation and Deduplication,2024-09-17,Evaluation and Benchmarks
Large Language Model Data Curation and Deduplication,2024-09-17,Core Models and Architectures
AI-Assisted Text Annotation and Labeling,2024-09-17,Applications and Use Cases
Uncertainty in Large Language Models,2024-09-24,Core Models and Architectures
Uncertainty in Large Language Models,2024-09-24,Societal Impacts and Ethics
Gender Bias in Large Language Models,2024-09-17,Societal Impacts and Ethics
Large Language Models in Healthcare Applications,2024-09-18,Applications and Use Cases
Diffusion Models for Text-Guided Image Generation and Editing,2024-11-07,Applications and Use Cases
Emotion Recognition and Analysis in Text,2024-10-21,Applications and Use Cases
Causal Analysis with Large Language Models,2024-10-17,Core Models and Architectures
Causal Analysis with Large Language Models,2024-10-17,Societal Impacts and Ethics
Gender Bias in Large Language Models,2024-09-17,Societal Impacts and Ethics
Scaling Laws in Large Language Models,2024-09-17,Core Models and Architectures
Legal Language Models Evaluation,2024-09-25,Evaluation and Benchmarks
Legal Language Models Evaluation,2024-09-25,Applications and Use Cases
Sentiment Analysis in NLP,2024-09-17,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2024-10-03,Applications and Use Cases
Knowledge Editing in Large Language Models,2024-09-17,Core Models and Architectures
Knowledge Editing in Large Language Models,2024-09-17,Applications and Use Cases
Diffusion-Based Video Generation,2024-09-17,Core Models and Architectures
Diffusion-Based Video Generation,2024-09-17,Applications and Use Cases
Automating Ontology Generation with Large Language Models,2024-09-17,Applications and Use Cases
Reinforcement Learning from Human Feedback,2024-09-17,Learning Paradigms
Emotion Recognition and Analysis in Text,2024-09-19,Applications and Use Cases
Personalized Recommendation Systems,2024-09-17,Applications and Use Cases
Theory of Mind in Large Language Models,2024-09-30,Core Models and Architectures
Theory of Mind in Large Language Models,2024-09-30,Societal Impacts and Ethics
Optimizing KV Cache for Large Language Models,2024-09-19,Optimization Techniques
Optimizing KV Cache for Large Language Models,2024-09-19,Infrastructure and Tools
AI-powered Tutoring in Programming Education,2024-09-25,Applications and Use Cases
Molecular and Protein Representation Learning,2024-09-18,Core Models and Architectures
Molecular and Protein Representation Learning,2024-09-18,Applications and Use Cases
Multimodal Image Captioning Models,2024-10-23,Applications and Use Cases
Multimodal Image Captioning Models,2024-10-23,Core Models and Architectures
Reinforcement Learning from Human Feedback,2024-06-03,Learning Paradigms
Reinforcement Learning from Human Feedback,2024-10-29,Learning Paradigms
Document-Level Relation Extraction,2024-06-04,Applications and Use Cases
Large Language Model Hallucinations,2024-06-06,Societal Impacts and Ethics
Large Language Model Hallucinations,2024-06-06,Evaluation and Benchmarks
Intelligent Agents and Multi-Agent Systems in AI,2024-10-17,Applications and Use Cases
Intelligent Agents and Multi-Agent Systems in AI,2024-10-17,Societal Impacts and Ethics
Logical Reasoning with Large Language Models,2024-07-12,Core Models and Architectures
Logical Reasoning with Large Language Models,2024-07-12,Learning Paradigms
Robot Manipulation and Autonomous Systems,2024-06-04,Applications and Use Cases
Story Generation and Evaluation,2024-07-23,Applications and Use Cases
Story Generation and Evaluation,2024-07-23,Evaluation and Benchmarks
Contextualized Word Embeddings for Semantic Shift Detection,2024-07-08,Core Models and Architectures
Contextualized Word Embeddings for Semantic Shift Detection,2024-07-08,Evaluation and Benchmarks
Radiology Report Generation with Multimodal Models,2024-06-05,Applications and Use Cases
Multimodal Large Language Models (MLLMs),2024-09-02,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2024-09-02,Applications and Use Cases
Moral Decision-Making in Large Language Models,2024-08-05,Societal Impacts and Ethics
Knowledge Graph-based Question Answering,2024-09-25,Applications and Use Cases
Reinforcement Learning from Human Feedback,2024-09-04,Learning Paradigms
Scaling Laws in Large Language Models,2024-06-04,Core Models and Architectures
Astronomy and Astrophysics Research,2024-06-18,Applications and Use Cases
Knowledge Editing in Large Language Models,2024-10-28,Core Models and Architectures
Knowledge Editing in Large Language Models,2024-10-28,Applications and Use Cases
Brain-Inspired Language Models and Neural Representations,2024-06-24,Core Models and Architectures
Optimizing GPU Utilization for Large Language Models,2024-06-05,Optimization Techniques
Optimizing GPU Utilization for Large Language Models,2024-06-05,Infrastructure and Tools
Dialogue Systems and Conversational AI,2024-06-05,Applications and Use Cases
Uncertainty in Large Language Models,2024-06-05,Core Models and Architectures
Uncertainty in Large Language Models,2024-06-05,Societal Impacts and Ethics
Uncertainty in Large Language Models,2024-06-05,Core Models and Architectures
Uncertainty in Large Language Models,2024-06-05,Societal Impacts and Ethics
Watermarking Techniques for Large Language Models,2024-10-30,Societal Impacts and Ethics
Watermarking Techniques for Large Language Models,2024-10-30,Core Models and Architectures
Robot Manipulation and Autonomous Systems,2024-06-05,Applications and Use Cases
Speculative Decoding for Large Language Models,2024-06-05,Core Models and Architectures
Speculative Decoding for Large Language Models,2024-06-05,Optimization Techniques
Stance Detection in Natural Language Processing,2024-06-05,Applications and Use Cases
Machine Translation with Large Language Models,2024-06-05,Applications and Use Cases
Generative AI in Telecommunications,2024-06-05,Applications and Use Cases
Personalized Recommendation Systems,2024-09-24,Applications and Use Cases
Self-Correction in Large Language Models,2024-11-11,Core Models and Architectures
Self-Correction in Large Language Models,2024-11-11,Learning Paradigms
Reinforcement Learning from Human Feedback,2024-06-06,Learning Paradigms
Personalized Recommendation Systems,2024-06-06,Applications and Use Cases
Improving Transformers for Arithmetic Tasks,2024-06-06,Core Models and Architectures
Improving Transformers for Arithmetic Tasks,2024-06-06,Learning Paradigms
Reinforcement Learning from Human Feedback,2024-11-06,Learning Paradigms
Large Language Models for Planning Tasks,2024-06-06,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-06-06,Applications and Use Cases
Mixture of Experts (MoE) for Large Language Models,2024-06-06,Core Models and Architectures
Mixture of Experts (MoE) for Large Language Models,2024-06-06,Optimization Techniques
Automated Program Verification with Large Language Models,2024-06-06,Applications and Use Cases
Large Language Model Security Vulnerabilities and Attacks,2024-06-06,Societal Impacts and Ethics
Large Language Model Security Vulnerabilities and Attacks,2024-06-06,Evaluation and Benchmarks
Multi-Agent Debate Frameworks,2024-06-06,Applications and Use Cases
Multi-Agent Debate Frameworks,2024-06-06,Learning Paradigms
Personalized Recommendation Systems,2024-06-06,Applications and Use Cases
Argument Mining and Quality Assessment,2024-08-21,Applications and Use Cases
Argument Mining and Quality Assessment,2024-08-21,Evaluation and Benchmarks
Multimodal Image Captioning Models,2024-06-06,Applications and Use Cases
Multimodal Image Captioning Models,2024-06-06,Core Models and Architectures
Optimizing GPU Utilization for Large Language Models,2024-06-07,Optimization Techniques
Optimizing GPU Utilization for Large Language Models,2024-06-07,Infrastructure and Tools
Climate Change and NLP Applications,2024-06-11,Applications and Use Cases
Climate Change and NLP Applications,2024-06-11,Societal Impacts and Ethics
Robot Manipulation and Autonomous Systems,2024-06-06,Applications and Use Cases
Log Parsing and Analysis Techniques,2024-06-06,Applications and Use Cases
Uncertainty in Large Language Models,2024-06-06,Core Models and Architectures
Uncertainty in Large Language Models,2024-06-06,Societal Impacts and Ethics
Adversarial Attacks on Retrieval-Augmented Generation,2024-09-26,Societal Impacts and Ethics
Adversarial Attacks on Retrieval-Augmented Generation,2024-09-26,Evaluation and Benchmarks
Table Understanding and Reasoning with Language Models,2024-10-15,Applications and Use Cases
Chart Understanding with Large Foundation Models,2024-11-21,Applications and Use Cases
Jailbreak Attacks on Large Language Models,2024-06-07,Societal Impacts and Ethics
Jailbreak Attacks on Large Language Models,2024-06-07,Evaluation and Benchmarks
Large Language Model Hallucinations,2024-08-27,Societal Impacts and Ethics
Large Language Model Hallucinations,2024-08-27,Evaluation and Benchmarks
Multimodal Large Language Models (MLLMs),2024-10-01,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2024-10-01,Applications and Use Cases
Mathematical Proof Formalization with AI,2024-06-10,Applications and Use Cases
Speculative Decoding for Large Language Models,2024-06-07,Core Models and Architectures
Speculative Decoding for Large Language Models,2024-06-07,Optimization Techniques
Gender Bias in Large Language Models,2024-06-07,Societal Impacts and Ethics
Large Language Model Hallucinations,2024-06-27,Societal Impacts and Ethics
Large Language Model Hallucinations,2024-06-27,Evaluation and Benchmarks
Data Contamination in Large Language Models,2024-09-24,Societal Impacts and Ethics
Data Contamination in Large Language Models,2024-09-24,Evaluation and Benchmarks
Large Language Models for Wireless Networking,2024-06-07,Applications and Use Cases
Dialogue Systems and Conversational AI,2024-06-07,Applications and Use Cases
Autonomous Driving Technologies,2024-06-07,Applications and Use Cases
Large Language Model Hallucinations,2024-06-07,Societal Impacts and Ethics
Large Language Model Hallucinations,2024-06-07,Evaluation and Benchmarks
Diffusion Models for Text-Guided Image Generation and Editing,2024-06-11,Applications and Use Cases
Code Review Automation with LLMs,2024-06-10,Applications and Use Cases
Moral Decision-Making in Large Language Models,2024-06-10,Societal Impacts and Ethics
Optimization Methods for Neural Networks,2024-06-10,Optimization Techniques
Knowledge Editing in Large Language Models,2024-07-24,Core Models and Architectures
Knowledge Editing in Large Language Models,2024-07-24,Applications and Use Cases
Automated Test Generation with Large Language Models,2024-06-10,Applications and Use Cases
Food Computing and Recipe Generation,2024-06-10,Applications and Use Cases
Anomaly Detection in Logs and Workflows,2024-06-10,Applications and Use Cases
Intelligent Agents and Multi-Agent Systems in AI,2024-06-10,Applications and Use Cases
Intelligent Agents and Multi-Agent Systems in AI,2024-06-10,Societal Impacts and Ethics
Large Language Model Safety Evaluation,2024-06-10,Societal Impacts and Ethics
Large Language Model Safety Evaluation,2024-06-10,Evaluation and Benchmarks
Emotion Recognition and Analysis in Text,2024-06-10,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-06-10,Applications and Use Cases
Geospatial Language Models and GeoAI,2024-08-30,Applications and Use Cases
Retrieval-Augmented Generation for Large Language Models,2024-09-27,Applications and Use Cases
Personalized Recommendation Systems,2024-06-11,Applications and Use Cases
Optimizing KV Cache for Large Language Models,2024-10-29,Optimization Techniques
Optimizing KV Cache for Large Language Models,2024-10-29,Infrastructure and Tools
Hateful Meme Detection Using Multimodal Analysis,2024-06-11,Applications and Use Cases
Hateful Meme Detection Using Multimodal Analysis,2024-06-11,Societal Impacts and Ethics
Text Summarization with Large Language Models,2024-06-11,Applications and Use Cases
Federated Recommendation Systems with Personalization and Privacy,2024-06-11,Applications and Use Cases
Federated Recommendation Systems with Personalization and Privacy,2024-06-11,Societal Impacts and Ethics
Cybersecurity and Threat Analysis,2024-06-11,Applications and Use Cases
Cybersecurity and Threat Analysis,2024-06-11,Societal Impacts and Ethics
Uncertainty in Large Language Models,2024-05-21,Core Models and Architectures
Uncertainty in Large Language Models,2024-05-21,Societal Impacts and Ethics
Radiology Report Generation with Multimodal Models,2023-06-01,Applications and Use Cases
Intelligent Agents and Multi-Agent Systems in AI,2023-10-31,Applications and Use Cases
Intelligent Agents and Multi-Agent Systems in AI,2023-10-31,Societal Impacts and Ethics
Large Language Models for Planning Tasks,2024-09-19,Applications and Use Cases
Conversational Intent Understanding and Dialogue Systems,2023-06-01,Applications and Use Cases
Dialogue Systems and Conversational AI,2024-05-07,Applications and Use Cases
Backdoor Attacks and Defenses in Deep Learning,2024-06-25,Societal Impacts and Ethics
Backdoor Attacks and Defenses in Deep Learning,2024-06-25,Core Models and Architectures
Theory of Mind in Large Language Models,2023-08-29,Core Models and Architectures
Theory of Mind in Large Language Models,2023-08-29,Societal Impacts and Ethics
Quantization Techniques for Large Language Models,2024-07-19,Optimization Techniques
Retrieval-Augmented Generation for Large Language Models,2023-06-05,Applications and Use Cases
Large Language Model Data Curation and Deduplication,2023-06-05,Evaluation and Benchmarks
Large Language Model Data Curation and Deduplication,2023-06-05,Core Models and Architectures
Mathematical Reasoning and Question Generation,2024-07-01,Applications and Use Cases
Mathematical Reasoning and Question Generation,2024-07-01,Learning Paradigms
Ethics in Artificial Intelligence Development,2023-06-06,Societal Impacts and Ethics
Food Computing and Recipe Generation,2023-06-06,Applications and Use Cases
AI-powered Tutoring in Programming Education,2023-06-06,Applications and Use Cases
Brain-Inspired Language Models and Neural Representations,2023-11-01,Core Models and Architectures
Optimizing GPU Utilization for Large Language Models,2023-08-30,Optimization Techniques
Optimizing GPU Utilization for Large Language Models,2023-08-30,Infrastructure and Tools
Multilingual Language Model Transfer,2024-05-21,Core Models and Architectures
Multilingual Language Model Transfer,2024-05-21,Learning Paradigms
Commonsense Knowledge in Large Language Models,2023-06-06,Core Models and Architectures
Commonsense Knowledge in Large Language Models,2023-06-06,Learning Paradigms
Large Language Models in Social Simulations and Cooperation,2024-02-16,Applications and Use Cases
Large Language Models in Social Simulations and Cooperation,2024-02-16,Societal Impacts and Ethics
Cybersecurity and Threat Analysis,2024-04-09,Applications and Use Cases
Cybersecurity and Threat Analysis,2024-04-09,Societal Impacts and Ethics
Large Language Models in Healthcare Applications,2023-06-06,Applications and Use Cases
Legal Language Models Evaluation,2023-09-06,Evaluation and Benchmarks
Legal Language Models Evaluation,2023-09-06,Applications and Use Cases
Video Understanding with Large Multimodal Models,2023-06-07,Applications and Use Cases
Logical Reasoning with Large Language Models,2023-06-08,Core Models and Architectures
Logical Reasoning with Large Language Models,2023-06-08,Learning Paradigms
Theory of Mind in Large Language Models,2023-06-08,Core Models and Architectures
Theory of Mind in Large Language Models,2023-06-08,Societal Impacts and Ethics
Quantum Machine Learning and Neural Networks,2024-03-19,Core Models and Architectures
Quantum Machine Learning and Neural Networks,2024-03-19,Infrastructure and Tools
Language Model Compression Techniques,2023-06-28,Optimization Techniques
Sentence Simplification and Evaluation,2023-06-08,Evaluation and Benchmarks
Sentence Simplification and Evaluation,2023-06-08,Applications and Use Cases
Molecular and Protein Representation Learning,2023-06-09,Core Models and Architectures
Molecular and Protein Representation Learning,2023-06-09,Applications and Use Cases
Large Language Models for Social Science Classification,2024-01-17,Applications and Use Cases
Federated Learning for Large Language Models,2024-06-24,Learning Paradigms
Federated Learning for Large Language Models,2024-06-24,Optimization Techniques
Text Summarization with Large Language Models,2023-06-12,Applications and Use Cases
Evaluating Chinese Language Models,2024-03-12,Evaluation and Benchmarks
Web Agents and Automation Tasks,2023-12-12,Applications and Use Cases
Language-Guided 3D Scene Generation,2023-06-13,Applications and Use Cases
Autonomous Driving Technologies,2023-10-20,Applications and Use Cases
Chain-of-Thought Prompting for Reasoning,2024-06-04,Learning Paradigms
Chain-of-Thought Prompting for Reasoning,2024-06-04,Core Models and Architectures
Tool Learning with Large Language Models,2023-08-29,Learning Paradigms
Tool Learning with Large Language Models,2023-08-29,Core Models and Architectures
Large Language Models in Healthcare Applications,2024-03-19,Applications and Use Cases
Large Language Models in Healthcare Applications,2023-09-21,Applications and Use Cases
Speech-to-Text and Audio Processing,2023-09-21,Applications and Use Cases
Syntactic Parsing and Linguistic Analysis in NLP,2023-09-21,Core Models and Architectures
Syntactic Parsing and Linguistic Analysis in NLP,2023-09-21,Applications and Use Cases
Speech-to-Text and Audio Processing,2023-09-21,Applications and Use Cases
Chart Understanding with Large Foundation Models,2024-02-20,Applications and Use Cases
Detecting AI-Generated Texts,2024-01-10,Societal Impacts and Ethics
Detecting AI-Generated Texts,2024-01-10,Evaluation and Benchmarks
Multimodal GUI Agents for Task Automation,2024-06-10,Applications and Use Cases
Multimodal GUI Agents for Task Automation,2024-06-10,Infrastructure and Tools
Robot Manipulation and Autonomous Systems,2024-05-28,Applications and Use Cases
Emotion Recognition and Analysis in Text,2024-08-30,Applications and Use Cases
NLG Evaluation Metrics and Models,2024-06-18,Evaluation and Benchmarks
NLG Evaluation Metrics and Models,2024-06-18,Core Models and Architectures
Robot Manipulation and Autonomous Systems,2024-04-09,Applications and Use Cases
AI-powered Tutoring in Programming Education,2023-11-02,Applications and Use Cases
Code Generation with Large Language Models,2024-01-31,Applications and Use Cases
Detecting AI-Generated Texts,2024-10-03,Societal Impacts and Ethics
Detecting AI-Generated Texts,2024-10-03,Evaluation and Benchmarks
Fuzzing with Large Language Models,2023-09-25,Evaluation and Benchmarks
Fuzzing with Large Language Models,2023-09-25,Societal Impacts and Ethics
AI-powered Tutoring in Programming Education,2023-09-26,Applications and Use Cases
Autonomous Driving Technologies,2024-07-23,Applications and Use Cases
AI-Powered Design and Prototyping Tools,2024-10-28,Applications and Use Cases
AI-Powered Design and Prototyping Tools,2024-10-28,Infrastructure and Tools
Chain-of-Thought Prompting for Reasoning,2024-03-27,Learning Paradigms
Chain-of-Thought Prompting for Reasoning,2024-03-27,Core Models and Architectures
Explainability in Large Language Models,2024-01-30,Societal Impacts and Ethics
Explainability in Large Language Models,2024-01-30,Core Models and Architectures
Large Language Models for Mobile GUI Testing,2023-09-26,Applications and Use Cases
Large Language Models for Wireless Networking,2023-09-26,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2023-10-25,Applications and Use Cases
Multimodal Large Language Models (MLLMs),2023-11-30,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2023-11-30,Applications and Use Cases
Multimodal Large Language Models (MLLMs),2023-09-27,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2023-09-27,Applications and Use Cases
Diffusion-Based Video Generation,2023-09-27,Core Models and Architectures
Diffusion-Based Video Generation,2023-09-27,Applications and Use Cases
Assessing Creativity in Large Language Models,2024-03-11,Evaluation and Benchmarks
Assessing Creativity in Large Language Models,2024-03-11,Societal Impacts and Ethics
Large Language Model Safety Evaluation,2023-09-27,Societal Impacts and Ethics
Large Language Model Safety Evaluation,2023-09-27,Evaluation and Benchmarks
Robot Manipulation and Autonomous Systems,2024-03-06,Applications and Use Cases
Electroencephalogram Analysis and Modeling,2023-10-18,Applications and Use Cases
Explainability in Large Language Models,2024-04-05,Societal Impacts and Ethics
Explainability in Large Language Models,2024-04-05,Core Models and Architectures
Knowledge Graph-based Question Answering,2024-02-08,Applications and Use Cases
Autonomous Driving Technologies,2024-02-23,Applications and Use Cases
Large Language Models in Healthcare Applications,2023-10-02,Applications and Use Cases
Explainability in Large Language Models,2024-06-14,Societal Impacts and Ethics
Explainability in Large Language Models,2024-06-14,Core Models and Architectures
Geospatial Language Models and GeoAI,2023-10-02,Applications and Use Cases
Reinforcement Learning from Human Feedback,2024-03-27,Learning Paradigms
Gender Bias in Large Language Models,2023-10-06,Societal Impacts and Ethics
Intelligent Agents and Multi-Agent Systems in AI,2024-05-01,Applications and Use Cases
Intelligent Agents and Multi-Agent Systems in AI,2024-05-01,Societal Impacts and Ethics
Tool Learning with Large Language Models,2024-03-14,Learning Paradigms
Tool Learning with Large Language Models,2024-03-14,Core Models and Architectures
Robot Manipulation and Autonomous Systems,2024-03-08,Applications and Use Cases
Reinforcement Learning from Human Feedback,2023-10-11,Learning Paradigms
Large Language Model Hallucinations,2024-07-22,Societal Impacts and Ethics
Large Language Model Hallucinations,2024-07-22,Evaluation and Benchmarks
Multi-Agent Debate Frameworks,2024-08-22,Applications and Use Cases
Multi-Agent Debate Frameworks,2024-08-22,Learning Paradigms
Automated Red Teaming for Large Language Models,2024-07-30,Societal Impacts and Ethics
Automated Red Teaming for Large Language Models,2024-07-30,Applications and Use Cases
Watermarking Techniques for Large Language Models,2024-09-26,Societal Impacts and Ethics
Watermarking Techniques for Large Language Models,2024-09-26,Core Models and Architectures
AI-powered Tutoring in Programming Education,2024-01-10,Applications and Use Cases
Ethics in Artificial Intelligence Development,2024-02-23,Societal Impacts and Ethics
Large Language Model Data Preparation Toolkits,2024-04-25,Infrastructure and Tools
Large Vision-Language Models Hallucination Analysis,2024-03-19,Evaluation and Benchmarks
Large Vision-Language Models Hallucination Analysis,2024-03-19,Societal Impacts and Ethics
Watermarking Techniques for Large Language Models,2023-10-03,Societal Impacts and Ethics
Watermarking Techniques for Large Language Models,2023-10-03,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2023-10-03,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2023-10-03,Applications and Use Cases
Knowledge Conflicts in Large Language Models,2024-10-16,Societal Impacts and Ethics
Knowledge Conflicts in Large Language Models,2024-10-16,Evaluation and Benchmarks
Knowledge Graph-based Question Answering,2024-02-27,Applications and Use Cases
Speculative Decoding for Large Language Models,2024-10-10,Core Models and Architectures
Speculative Decoding for Large Language Models,2024-10-10,Optimization Techniques
Large Language Models in Healthcare Applications,2024-10-11,Applications and Use Cases
Video Understanding with Large Multimodal Models,2024-10-10,Applications and Use Cases
